UID,ANTENNA,ATM_CORR,BB,BAND,CALDATA_ID,REF_ANT,TIME,delay_X,delay_Y,error_X,error_Y
uid://A002/Xa2300a/X113,DV19,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-1.2254419701207553e-11,-2.18040273336495e-11,8.603250056804512e-12,1.379545696428286e-11
uid://A002/Xa2300a/X113,DV18,AP_UNCORRECTED,BB_4,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,2.7094316373821314e-11,-2.835609178020171e-11,2.874800397734134e-11,1.823563175462617e-11
uid://A002/Xa2300a/X113,DV19,AP_UNCORRECTED,BB_4,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-1.9078362153979178e-11,-8.80282235993235e-11,2.8319836059553793e-11,1.9803518200300907e-11
uid://A002/Xa2300a/X113,DV20,AP_UNCORRECTED,BB_4,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,7.829801043635065e-12,-4.9977390281785716e-11,1.498575222247389e-11,2.1799518787335437e-11
uid://A002/Xa2300a/X113,DV21,AP_UNCORRECTED,BB_4,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-7.940440839571128e-12,-5.643962033841099e-11,1.9025546763029588e-11,2.1432794775066988e-11
uid://A002/Xa2300a/X113,DV22,AP_UNCORRECTED,BB_4,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-3.1927266386233555e-11,-8.448740318467429e-11,2.0026253225169377e-11,2.02798038778651e-11
uid://A002/Xa2300a/X113,DV23,AP_UNCORRECTED,BB_4,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,1.2480432486083881e-11,4.1660900423901026e-11,1.7512801972485725e-11,1.4821905855444406e-11
uid://A002/Xa2300a/X113,DV24,AP_UNCORRECTED,BB_4,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,2.6858244794869535e-11,-2.7416974940353e-11,1.8285576178223018e-11,1.814967620639152e-11
uid://A002/Xa2300a/X25,DV24,AP_UNCORRECTED,BB_3,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,2.585829120271832e-11,4.2294136942677696e-11,1.32630434412917e-11,1.7580298328212507e-11
uid://A002/Xa2300a/X25,DV25,AP_UNCORRECTED,BB_3,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,-2.92062901641188e-11,2.008393971963951e-11,1.8668875473304425e-11,1.6061593027805188e-11
uid://A002/Xa2300a/X25,DA42,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,-0.0,-0.0,0.0,0.0
uid://A002/Xa2300a/X25,DA43,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,-5.610711114462097e-12,-4.899591843354756e-11,1.6159783580715903e-11,2.6882988890530868e-11
uid://A002/Xa2300a/X25,DA44,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,4.6387952506998786e-11,-4.268279740066161e-12,1.8068373186519437e-11,3.190143982312321e-11
uid://A002/Xa2300a/X25,DA45,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,2.0263428088251878e-11,-1.6680283890235792e-11,1.0295612452859704e-11,3.929187877838025e-11
uid://A002/Xa2300a/X113,DV20,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-7.422706546633684e-12,-3.690477090589894e-11,1.2278181076019745e-11,1.6682417600111243e-11
uid://A002/Xa2300a/X113,DV21,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-2.4288548602924287e-11,-2.180901639836641e-11,1.036546109361991e-11,1.2442676229629246e-11
uid://A002/Xa2300a/X113,DV22,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-4.786708182602517e-11,3.871075682226888e-11,2.554390032827314e-11,2.4515138183356378e-11
uid://A002/Xa2300a/X113,DV23,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,6.726223050756985e-11,-1.348203580026075e-11,1.4976153997481312e-11,9.695103227180812e-12
uid://A002/Xa2300a/X113,DV24,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,2.2332392879409468e-11,-2.3887560332558344e-11,1.1654166347241368e-11,9.974799632106457e-12
uid://A002/Xa2300a/X113,DV25,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-1.9350805680051764e-11,-7.185817219035329e-11,9.78516920269179e-12,9.209842090351916e-12
uid://A002/Xa2300a/X113,DA42,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-0.0,-0.0,0.0,0.0
uid://A002/Xa2300a/X113,DV25,AP_UNCORRECTED,BB_4,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-1.7777630062498773e-11,2.6399631179035987e-12,1.4914324983350546e-11,4.1521504984265434e-11
uid://A002/Xa2300a/X113,DA54,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,1.7489643414081435e-11,5.551719500784813e-11,8.884290872424039e-12,1.5677749029552324e-11
uid://A002/Xa2300a/X113,DA55,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,1.9857391772570843e-11,2.575019017458935e-11,1.9213146698615624e-11,1.3941551038620936e-11
uid://A002/Xa2300a/X113,DA57,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,-1.3993565854686363e-11,4.2522409204881484e-11,2.080171798701791e-11,2.832379122907902e-11
uid://A002/Xa2300a/X113,DA59,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,3.0028975833706895e-11,4.922301108378768e-11,1.4362521588706656e-11,1.1341521471974758e-11
uid://A002/Xa2300a/X113,DA60,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,-1.9827636060787412e-11,2.864325747073404e-12,2.1689199047880692e-11,2.0460829211477183e-11
uid://A002/Xa2300a/X113,DA61,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,9.865168577871675e-12,5.00570106198861e-11,2.530708281822669e-11,2.007583335683627e-11
uid://A002/Xa2300a/X25,DA47,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,1.8532349266298098e-11,-2.69013353260128e-11,1.3464652136307986e-11,2.3550080288647912e-11
uid://A002/Xa2300a/X25,DA49,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,1.9947191468028258e-11,-2.746603985914753e-11,1.2130394778930853e-11,2.9919153959889755e-11
uid://A002/Xa2300a/X25,DA50,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,1.1458494743321612e-11,-3.732075065654428e-11,1.277971565377678e-11,2.104463131535894e-11
uid://A002/Xa2300a/X25,DA51,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,2.4511941087990152e-11,-1.5076821735515722e-11,2.37170821176802e-11,1.649726535934981e-11
uid://A002/Xa2300a/X25,DA52,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,2.0212420279164256e-11,-2.8059811418845726e-11,2.2062884505458236e-11,2.2312745401320555e-11
uid://A002/Xa2300a/X25,DA53,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,9.038259723981312e-12,-3.28540181171455e-11,1.3176595231589872e-11,2.449235779466985e-11
uid://A002/Xa2300a/X25,DA54,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,-2.1731004582609126e-12,-2.5930256206119218e-11,1.1735033084159241e-11,2.4301170450935494e-11
uid://A002/Xa2300a/X113,DA43,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-2.287332129258246e-11,1.500977814261617e-11,1.1576390020195948e-11,1.9826917885268358e-11
uid://A002/Xa2300a/X113,DA44,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,2.7032291335937764e-12,-5.877735364395731e-12,1.5433824357424797e-11,2.0405486328423095e-11
uid://A002/Xa2300a/X113,DA45,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-6.891654131049862e-13,2.304252968987619e-11,1.559794307604001e-11,1.7293135673446258e-11
uid://A002/Xa2300a/X113,DA47,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-7.176968654792892e-12,1.9407656037806476e-11,1.4561183855898996e-11,2.1191846888424237e-11
uid://A002/Xa2300a/X113,DA49,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-6.2146360106651866e-12,5.3110341645401515e-12,1.5088905819249376e-11,7.848339166061091e-12
uid://A002/Xa2300a/X113,DA50,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-1.2185627507044217e-11,2.488154127178177e-11,1.2817047770341539e-11,1.4182121622907662e-11
uid://A002/Xa2300a/X113,DA51,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,2.6789169840779614e-11,4.8982169015276966e-11,1.8725632155991434e-11,1.1494842404313754e-11
uid://A002/Xa2300a/X113,DA62,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,2.0480110662912665e-11,4.644267609377195e-11,1.7800374021992305e-11,1.1792657995945977e-11
uid://A002/Xa2300a/X113,DA63,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,1.2099761297068579e-11,5.185205390056957e-11,1.3421849569261735e-11,1.1306446230652245e-11
uid://A002/Xa2300a/X113,DA64,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,1.7118632900103847e-11,1.9611815643694186e-11,2.432690507370161e-11,1.9614953758462228e-11
uid://A002/Xa2300a/X113,DV01,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,-5.017555468334045e-11,9.486397778424305e-12,1.7564540100156734e-11,1.561840240471568e-11
uid://A002/Xa2300a/X113,DV05,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,-2.1885967430718134e-12,1.5624886801068882e-11,1.625238485458702e-11,9.677683134035053e-12
uid://A002/Xa2300a/X113,DV07,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,-2.006611971852243e-13,3.744615728606959e-11,8.94927361383413e-12,1.1429922980310536e-11
uid://A002/Xa2300a/X113,DV10,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,-4.8653988823921246e-12,5.997016078174155e-11,1.8681042823764926e-11,1.0365153180202924e-11
uid://A002/Xa2300a/X25,DA55,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,1.704896987475557e-11,-2.2500050433915675e-11,1.1915008910068359e-11,1.3358053378709212e-11
uid://A002/Xa2300a/X25,DA57,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,4.34454729136835e-11,1.4481907426727725e-12,8.73969820125442e-12,2.3775306376427885e-11
uid://A002/Xa2300a/X25,DA59,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,4.120484856096063e-11,-1.3336930301463545e-12,1.344882191722796e-11,1.814980978009917e-11
uid://A002/Xa2300a/X25,DA60,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,-1.1551404797971454e-11,6.3398409785864196e-12,1.032925047578237e-11,2.3042704896947264e-11
uid://A002/Xa2300a/X25,DA61,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,4.834067521275465e-11,8.291718006647741e-12,1.870762746103427e-11,2.1286177681600904e-11
uid://A002/Xa2300a/X25,DA62,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,4.4676842086976976e-11,6.248136123071513e-12,1.0317799566117447e-11,2.3996162695771872e-11
uid://A002/Xa2300a/X25,DA63,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,2.1423675333753778e-11,-2.2939389970888513e-11,9.980591873792743e-12,3.1105763798056074e-11
uid://A002/Xa2300a/X113,DA52,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-2.1705772595970174e-11,1.179929678268854e-11,1.789199691182297e-11,1.621626964654066e-11
uid://A002/Xa2300a/X113,DA53,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-9.132342451700914e-12,2.1948108261393706e-11,1.4303908751900352e-11,1.0331508218386354e-11
uid://A002/Xa2300a/X113,DA54,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,1.9035228254749015e-11,5.5488717787266495e-11,8.755981183161676e-12,1.526905164805914e-11
uid://A002/Xa2300a/X113,DA55,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,2.110344884953541e-11,2.7238312300115197e-11,1.9615130700256778e-11,1.421618985725237e-11
uid://A002/Xa2300a/X113,DA57,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-1.2137298111003503e-11,4.3802277777116316e-11,2.0613621920517744e-11,2.7472073227396976e-11
uid://A002/Xa2300a/X113,DA59,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,3.137953438758778e-11,5.1056946864802555e-11,1.4028810231547784e-11,1.0902662453404766e-11
uid://A002/Xa2300a/X113,DA60,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-1.9238987139513775e-11,2.7387079149648885e-12,2.1844316286379062e-11,2.0649209772627408e-11
uid://A002/Xa2300a/X113,DV11,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,-3.758740541037753e-11,8.143446333930271e-11,1.3045614068174505e-11,1.6759718612924246e-11
uid://A002/Xa2300a/X113,DV12,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,-3.042077006965016e-11,5.966106515070679e-12,1.2460058158858534e-11,2.6192638336031138e-11
uid://A002/Xa2300a/X113,DV13,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,-2.4596918252184352e-11,9.542975437648593e-11,2.4025812589423268e-11,3.3391060749732304e-11
uid://A002/Xa2300a/X113,DV14,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,-4.0848012472505246e-11,-8.911810525646935e-12,2.2042898756291507e-11,2.027933376780311e-11
uid://A002/Xa2300a/X113,DV15,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,5.723755497344385e-11,-2.0960500696221018e-11,2.289824753420877e-11,2.760643623422876e-11
uid://A002/Xa2300a/X113,DV16,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,1.5312431878022892e-11,-8.427632203211743e-11,1.1856219131467505e-11,1.1427240230454938e-11
uid://A002/Xa2300a/X113,DV17,AP_UNCORRECTED,BB_3,ALMA_RB_06,CalData_10,DA42,2015-06-03 23:58:53.808001,-4.9077322067381246e-11,1.0267242785133579e-11,1.9836181308630074e-11,9.443520618268586e-12
uid://A002/Xa2300a/X25,DA64,AP_UNCORRECTED,BB_4,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,1.924997140856366e-11,-3.1322867910521524e-11,8.75318133947145e-12,1.034300943503208e-11
